"SKRILL_FRONTEND_PM_FLEXIBLE", "Pay By Skrill"
"SKRILL_FRONTEND_PM_WLT", "Skrill Wallet"
"SKRILL_FRONTEND_PM_PSC", "Paysafecard"
"SKRILL_FRONTEND_PM_PCH", "Paysafecash"
"SKRILL_FRONTEND_PM_ACC", "Kreditkarte / Visa, Mastercard, AMEX"
"SKRILL_FRONTEND_PM_VSA", "Visa"
"SKRILL_FRONTEND_PM_MSC", "MasterCard"
"SKRILL_FRONTEND_PM_VSD", "Visa Delta/Debit"
"SKRILL_FRONTEND_PM_MAE", "Maestro"
"SKRILL_FRONTEND_PM_AMX", "American Express"
"SKRILL_FRONTEND_PM_DIN", "Diners"
"SKRILL_FRONTEND_PM_JCB", "JCB"
"SKRILL_FRONTEND_PM_GCB", "Carte Bleue by Visa"
"SKRILL_FRONTEND_PM_DNK", "Dankort by Visa"
"SKRILL_FRONTEND_PM_PSP", "PostePay by Visa"
"SKRILL_FRONTEND_PM_CSI", "CartaSi by Visa"
"SKRILL_FRONTEND_PM_OBT", "Rapid Transfer"
"SKRILL_FRONTEND_PM_GIR", "Giropay"
"SKRILL_FRONTEND_PM_DID", "Lastschrift"
"SKRILL_FRONTEND_PM_SFT", "Sofort"
"SKRILL_FRONTEND_PM_EBT", "Nordea Solo"
"SKRILL_FRONTEND_PM_IDL", "iDEAL"
"SKRILL_FRONTEND_PM_NPY", "EPS (Netpay)"
"SKRILL_FRONTEND_PM_PLI", "POLi"
"SKRILL_FRONTEND_PM_PWY", "Przelewy24"
"SKRILL_FRONTEND_PM_EPY", "ePay.bg"
"SKRILL_FRONTEND_PM_GLU", "Trustly"
"SKRILL_FRONTEND_PM_NTL", "Neteller"
"SKRILL_FRONTEND_PM_ALI", "Alipay"
"SKRILL_FRONTEND_PM_ADB", "Sofort Bank-Überweisung"
"SKRILL_FRONTEND_PM_AOB", "Manuelle Bank-Überweisung"
"SKRILL_FRONTEND_PM_ACI", "Barzahlung / Rechnung"
"SKRILL_FRONTEND_PM_AUP", "Unionpay"
"SKRILL_FRONTEND_PM_BTC", "Bitcoin"
"FRONTEND_PM_CC", "Credit Card"
"FRONTEND_PM_DD", "Lastschrift (SEPA)"
"FRONTEND_PM_EPS", "eps"
"FRONTEND_PM_GIROPAY", "giropay"
"FRONTEND_PM_IDEAL", "iDeal"
"FRONTEND_PM_PAYPAL", "PayPal"
"FRONTEND_PM_SOFORTBANK", "SOFORT &Uuml;berweisung"
"FRONTEND_PM_SOFORT", "SOFORT &Uuml;berweisung"
"FRONTEND_PM_PAYOLUTIONINV", "Payolution Invoice"
"FRONTEND_PM_PAYOLUTIONINS", "Payolution Installment"
"FRONTEND_PM_PAYSAFECARD", "Paysafecard"
"FRONTEND_PM_PAYTRAIL", "Paytrail"
"FRONTEND_PM_YANDEX", "Yandex"

"SKRILL_BACKEND_GENERAL_TITLE", "Skrill"
"BACKEND_CH_GENERAL", "General Setting"
"BACKEND_GENERAL_PAYMENT_METHODS", "Zahlmethoden"

"SKRILL_BACKEND_GENERAL_SKRILL_PLUGIN_NAME", "Skrill Hosted Payment Solution"
"SKRILL_BACKEND_PM_SETTINGS", "Skrill Einstellungen"
"SKRILL_BACKEND_PM_FLEXIBLE", "Alle Karten und alternativen Zahlungsmethoden"
"SKRILL_BACKEND_PM_WLT", "Skrill Wallet"
"SKRILL_BACKEND_PM_PSC", "Paysafecard"
"SKRILL_BACKEND_PM_PCH", "Paysafecash"
"SKRILL_BACKEND_PM_ACC", "Kreditkarte / Visa, Mastercard, AMEX"
"SKRILL_BACKEND_PM_VSA", "Visa"
"SKRILL_BACKEND_PM_MSC", "MasterCard"
"SKRILL_BACKEND_PM_VSD", "Visa Delta/Debit"
"SKRILL_BACKEND_PM_MAE", "Maestro"
"SKRILL_BACKEND_PM_AMX", "American Express"
"SKRILL_BACKEND_PM_DIN", "Diners"
"SKRILL_BACKEND_PM_JCB", "JCB"
"SKRILL_BACKEND_PM_GCB", "Carte Bleue by Visa"
"SKRILL_BACKEND_PM_DNK", "Dankort by Visa"
"SKRILL_BACKEND_PM_PSP", "PostePay by Visa"
"SKRILL_BACKEND_PM_CSI", "CartaSi by Visa"
"SKRILL_BACKEND_PM_OBT", "Rapid Transfer"
"SKRILL_BACKEND_PM_GIR", "Giropay"
"SKRILL_BACKEND_PM_DID", "Lastschrift"
"SKRILL_BACKEND_PM_SFT", "Sofort"
"SKRILL_BACKEND_PM_EBT", "Nordea Solo"
"SKRILL_BACKEND_PM_IDL", "iDEAL"
"SKRILL_BACKEND_PM_NPY", "EPS (Netpay)"
"SKRILL_BACKEND_PM_PLI", "POLi"
"SKRILL_BACKEND_PM_PWY", "Przelewy24"
"SKRILL_BACKEND_PM_EPY", "ePay.bg"
"SKRILL_BACKEND_PM_GLU", "Trustly"
"SKRILL_BACKEND_PM_NTL", "Neteller"
"SKRILL_BACKEND_PM_ALI", "Alipay"
"SKRILL_BACKEND_PM_ADB", "Sofort Bank-Überweisung"
"SKRILL_BACKEND_PM_AOB", "Manuelle Bank-Überweisung"
"SKRILL_BACKEND_PM_ACI", "Barzahlung / Rechnung"
"SKRILL_BACKEND_PM_AUP", "Unionpay"
"SKRILL_BACKEND_PM_BTC", "Bitcoin"
"BACKEND_PM_CC", "Credit Card (Enterprise)"
"BACKEND_PM_DD", "Lastschrift (SEPA) (Enterprise)"
"BACKEND_PM_EPS", "eps (Enterprise)"
"BACKEND_PM_GIROPAY", "giropay (Enterprise)"
"BACKEND_PM_IDEAL", "iDeal (Enterprise)"
"SKRILL_BACKEND_PM_PAYPAL", "PayPal (Enterprise)"
"BACKEND_PM_SOFORTBANK", "SOFORT &Uuml;berweisung (Enterprise)"
